CHAVE_INTERNA,PORTUGUES,INGLES,NORUEGUES
adminPage.category,"Categoria","Category","Kategori"
adminPage.confirmDelete,"Tem certeza que deseja apagar este evento permanentemente?","Are you sure you want to permanently delete this event?","Er du sikker på at du vil slette dette arrangementet permanent?"
adminPage.createNew,"Criar Novo Evento","Create New Event","Opprett Nytt Arrangement"
adminPage.delete,"Excluir","Delete","Slett"
adminPage.deleteError,"Erro ao deletar.","Error deleting.","Feil ved sletting."
adminPage.edit,"Editar","Edit","Rediger"
adminPage.empty,"Nenhum evento criado ainda.","No events created yet.","Ingen arrangementer opprettet ennå."
adminPage.endTime,"Término","End Time","Sluttid"
adminPage.eventTitle,"Título do Evento","Event Title","Tittel på Arrangement"
adminPage.exDates,"Ex: 9 sextas-feiras: 18h","Ex: 9 Fridays: 18:00","F.eks: 9 fredager: 18:00"
adminPage.exLocation,"Ex: Rommen Skole","Ex: Rommen Skole","F.eks: Rommen Skole"
adminPage.global,"(GLOBAL)","(GLOBAL)","(GLOBAL)"
adminPage.instructor,"Instrutor","Instructor","Instruktør"
adminPage.instructorEmail,"E-mail do Instrutor","Instructor Email","Instruktørens E-post"
adminPage.languageTab,"Idioma do Formulário","Form Language","Skjemaspråk"
adminPage.loading,"Carregando...","Loading...","Laster..."
adminPage.location,"Local / Estúdio","Location / Studio","Sted / Studio"
adminPage.publish,"Publicar Evento","Publish Event","Publiser Arrangement"
adminPage.save,"Salvar Alterações","Save Changes","Lagre Endringer"
adminPage.saveError,"Erro ao salvar evento.","Error saving event.","Feil ved lagring av arrangement."
adminPage.scheduleText,"Texto Visível: Datas / Horários","Visible Text: Dates / Times","Synlig Tekst: Datoer / Tider"
adminPage.selectOrType,"Selecione ou digite...","Select or type...","Velg eller skriv..."
adminPage.spots,"Vagas","Spots","Plasser"
adminPage.startDate,"Data de Início","Start Date","Startdato"
adminPage.startTime,"Início","Start Time","Starttid"
adminPage.studentsModal.address,"Endereço","Address","Adresse"
adminPage.studentsModal.birthDateAndAge,"Nascimento / Idade","Birth / Age","Fødsel / Alder"
adminPage.studentsModal.completeView,"Completa","Complete","Fullstendig"
adminPage.studentsModal.confirmPromote,"Mover este aluno da lista de espera para os inscritos?","Move this student from the waitlist to enrolled?","Flytte denne deltakeren fra venteliste til påmeldt?"
adminPage.studentsModal.confirmRemove,"Tem certeza que deseja remover este aluno do evento?","Are you sure you want to remove this student from the event?","Er du sikker på at du vil fjerne denne deltakeren fra kurset?"
adminPage.studentsModal.copyEmails,"Copiar E-mails","Copy Emails","Kopier E-poster"
adminPage.studentsModal.emailsCopied,"E-mails copiados!","Emails copied!","E-poster kopiert!"
adminPage.studentsModal.enrolledTab,"Inscritos","Enrolled","Påmeldte"
adminPage.studentsModal.experience,"Experiência","Experience","Erfaring"
adminPage.studentsModal.exportCompleteCsv,"Exportar Completo (CSV)","Export Full CSV","Eksporter Fullstendig (CSV)"
adminPage.studentsModal.exportCsv,"Exportar CSV","Export CSV","Eksporter CSV"
adminPage.studentsModal.noEnrolled,"Nenhum aluno inscrito ainda neste workshop.","No students enrolled yet in this workshop.","Ingen påmeldte deltakere ennå på dette kurset."
adminPage.studentsModal.noWaitlist,"Ninguém na lista de espera no momento.","No one on the waitlist at the moment.","Ingen på venteliste for øyeblikket."
adminPage.studentsModal.none,"Nenhuma","None","Ingen"
adminPage.studentsModal.notInformed,"Não informado","Not specified","Ikke oppgitt"
adminPage.studentsModal.promote,"Promover","Promote","Flytt til Påmeldte"
adminPage.studentsModal.remove,"Remover","Remove","Fjern"
adminPage.studentsModal.restrictions,"Restrições","Restrictions","Begrensninger"
adminPage.studentsModal.simpleView,"Simplificada","Simplified","Forenklet"
adminPage.studentsModal.waitlistTab,"Lista de Espera","Waitlist","Venteliste"
adminPage.studentsModal.yearsOld,"anos","years old","år"
adminPage.totalHours,"Horas (h)","Hours (h)","Timer (t)"
adminPage.totalSpots,"Total de Vagas","Total Spots","Totalt Antall Plasser"
adminPage.viewStudents,"Ver Alunos","View Students","Se Elever"
adminPage.waitlist,"Espera","Waitlist","Venteliste"
agenda.coming_soon,"Em breve","Coming soon","Kommer snart"
agenda.location,"Oslo, Noruega","Oslo, Norway","Oslo, Norge"
agenda.no_events,"Nenhum evento encontrado para este filtro no momento.","No events found for this filter at the moment.","Ingen arrangementer funnet for dette filteret for øyeblikket."
agenda.subtitle,"Acompanhe nossas próximas datas para os workshops, sessões regulares e vivências do Be The Dance e Biostretch.","Follow our upcoming dates for workshops, regular sessions, and experiences from Be The Dance and Biostretch.","Følg med på våre kommende datoer for workshops, faste timer og opplevelser fra Be The Dance og Biostretch."
agenda.tbd,"A definir","TBD","TBD"
agendaPage.addToCalendar,"Adicionar ao Calendário","Add to Calendar","Legg til i kalender"
agendaPage.cancel,"Cancelar Inscrição","Cancel Enrollment","Avbryt Påmelding"
agendaPage.cancelError,"Erro ao cancelar: ","Error canceling: ","Feil ved avbestilling: "
agendaPage.comingSoon,"Em breve","Coming soon","Kommer snart"
agendaPage.confirmCancel,"Tem certeza que deseja cancelar sua inscrição/espera para este evento?","Are you sure you want to cancel your enrollment/waitlist for this event?","Er du sikker på at du vil avbryte påmeldingen/ventelisten for dette arrangementet?"
agendaPage.empty,"Nenhum evento encontrado no momento.","No events found at the moment.","Ingen arrangementer funnet for øyeblikket."
agendaPage.enrolled,"Inscrito","Enrolled","Påmeldt"
agendaPage.filterAll,"Todos","All","Alle"
agendaPage.instructor,"Instrutor","Instructor","Instruktør"
agendaPage.joinWaitlist,"Entrar na Espera","Join Waitlist","Sett deg på venteliste"
agendaPage.loading,"Carregando agenda...","Loading schedule...","Laster timeplan..."
agendaPage.spotsLeft,"Restam {{count}} vagas","{{count}} spots left","{{count}} plasser igjen"
agendaPage.spotsLeftOne,"Resta 1 vaga","1 spot left","1 plass igjen"
agendaPage.subscribe,"Inscreva-se","Subscribe","Meld deg på"
agendaPage.subtitle,"Acompanhe nossas próximas datas para os workshops, sessões regulares e vivências do Be The Dance e Biostretch.","Follow our upcoming dates for workshops, regular sessions and experiences of Be The Dance and Biostretch.","Følg våre kommende datoer for workshops, faste timer og opplevelser fra Be The Dance og Biostretch."
agendaPage.tbd,"Horários a definir","Schedule to be confirmed","Tidspunkt bekreftes snart"
agendaPage.title,"Agenda Completa","Full Schedule","Full Timeplan"
agendaPage.waitlist,"Na Espera","On Waitlist","På venteliste"
auth.addressLabel,"Endereço *","Address *","Adresse *"
auth.addressPlaceholder,"Nome da rua, número","Street name, number","Gatenavn, husnummer"
auth.alreadyHaveAccount,"Já tem uma conta?","Already have an account?","Har du allerede en konto?"
auth.birthDateLabel,"Data de Nascimento *","Date of Birth *","Fødselsdato *"
auth.birthDatePlaceholder,"DD/MM/AAAA","YYYY-MM-DD","ÅÅÅÅ-MM-DD"
auth.cityLabel,"Cidade *","City *","By *"
auth.cityPlaceholder,"Sua cidade","Your city","Din by"
auth.confirmPasswordLabel,"Confirmar Senha *","Confirm Password *","Bekreft Passord *"
auth.confirmPasswordPlaceholder,"••••••••","••••••••","••••••••"
auth.countryLabel,"País *","Country *","Land *"
auth.countryPlaceholder,"Brasil, Noruega...","Norway...","Norge..."
auth.createAccountLink,"Criar conta","Create account","Opprett konto"
auth.creatingAccount,"Criando Conta...","Creating Account...","Oppretter Konto..."
auth.emailLabel,"E-mail *","Email *","E-post *"
auth.emailPlaceholder,"seuemail@exemplo.com","your.email@example.com","din.epost@eksempel.no"
auth.experienceLabel,"Experiência prévia com dança ou trabalho corporal?","Previous experience with dance or bodywork?","Tidligere erfaring med dans eller kroppsarbeid?"
auth.experiencePlaceholder,"Conte-nos brevemente sobre sua experiência...","Tell us briefly about your dance experience...","Fortell oss kort om din erfaring..."
auth.forgotPassword,"Esqueceu a senha?","Forgot password?","Glemt passord?"
auth.fullNameLabel,"Nome Completo *","Full Name *","Fullt Navn *"
auth.fullNamePlaceholder,"Seu nome completo","Your full name","Ditt fulle navn"
auth.loggingIn,"Entrando...","Logging in...","Logger inn..."
auth.loginBtn,"Entrar","Log In","Logg Inn"
auth.loginError,"Falha ao fazer login. Verifique seu email e senha.","Failed to log in. Please check your email and password.","Kunne ikke logge inn. Vennligst sjekk e-post og passord."
auth.loginLink,"Entrar","Log in","Logg inn"
auth.loginSubtitle,"Acesse sua conta para gerenciar suas aulas.","Access your account to manage your classes.","Logg inn på kontoen din for å administrere timene dine."
auth.loginTitle,"Bem-vindo de volta","Welcome Back","Velkommen Tilbake"
auth.neighborhoodLabel,"Bairro *","Neighborhood / District *","Nabolag / Bydel *"
auth.neighborhoodPlaceholder,"Seu bairro","Your neighborhood","Ditt nabolag"
auth.noAccount,"Ainda não tem uma conta?","Don't have an account yet?","Har du ikke konto ennå?"
auth.passwordLabel,"Senha *","Password *","Passord *"
auth.passwordMismatch,"As senhas não coincidem.","Passwords do not match.","Passordene samsvarer ikke."
auth.passwordPlaceholder,"••••••••","••••••••","••••••••"
auth.phoneLabel,"Telefone / WhatsApp *","Phone / WhatsApp *","Telefon / WhatsApp *"
auth.phonePlaceholder,"+55 ... / +47 ...","+47 ...","+47 ..."
auth.profileError,"Erro ao atualizar cadastro. Tente novamente.","Failed to update profile. Please try again.","Kunne ikke oppdatere profilen. Vennligst prøv igjen."
auth.profileSubtitle,"Mantenha seus dados cadastrais atualizados.","Keep your registration details up to date.","Hold registreringsopplysningene dine oppdatert."
auth.profileSuccess,"Cadastro atualizado com sucesso!","Profile updated successfully!","Profilen ble oppdatert!"
auth.profileTitle,"Meu Perfil","My Profile","Min Profil"
auth.readOnlyEmail,"O e-mail não pode ser alterado diretamente.","Email address cannot be changed directly.","E-postadressen kan ikke endres direkte."
auth.resetEnterEmail,"Digite seu e-mail acima para redefinir a senha.","Enter your email above to reset your password.","Skriv inn e-posten din ovenfor for å tilbakestille passordet."
auth.resetError,"Falha ao redefinir a senha. Verifique o e-mail digitado.","Failed to reset password. Please check the entered email.","Kunne ikke tilbakestille passordet. Sjekk oppgitt e-post."
auth.resetSuccess,"Verifique sua caixa de entrada para redefinir a senha.","Check your inbox for password reset instructions.","Sjekk innboksen din for å tilbakestille passordet."
auth.restrictionsLabel,"Restrições físicas ou de saúde?","Physical or health restrictions?","Fysiske eller helsemessige hensyn?"
auth.restrictionsPlaceholder,"Alguma lesão ou condição que o professor deva saber?","Any injury or condition the instructor should know about?","Skader eller tilstander læreren bør vite om?"
auth.saveProfile,"Salvar Alterações","Save Changes","Lagre Endringer"
auth.savingProfile,"Salvando...","Saving...","Lagrer..."
auth.signupBtn,"Criar Conta","Create Account","Opprett Konto"
auth.signupError,"Falha ao criar conta. Verifique se o e-mail já está em uso.","Failed to create account. Check if the email is already in use.","Kunne ikke opprette konto. Sjekk om e-posten allerede er i bruk."
auth.signupSubtitle,"Junte-se ao Dance2Dance e reserve suas aulas.","Join Dance2Dance and book your classes.","Bli med i Dance2Dance og bestill dine timer."
auth.signupTitle,"Criar Conta","Create Account","Opprett Konto"
auth.zipLabel,"CEP / Código Postal *","ZIP / Postal Code *","Postnummer *"
auth.zipPlaceholder,"00000-000","Postal / ZIP code (e.g. 0190)","Postnummer (f.eks. 0190)"
be_the_dance_philosophy.m1.l1,"Você não precisa aprender a dançar.","You don't need to learn how to dance.","Du trenger ikke å lære å danse."
be_the_dance_philosophy.m2.kicker,"DO FAZER AO SER","FROM DOING TO BEING","FRA Å GJØRE TIL Å VÆRE"
be_the_dance_philosophy.m2.t1,"BE THE","BE THE","BE THE"
be_the_dance_philosophy.m2.t2,"DANCE","DANCE","DANCE"
be_the_dance_philosophy.m3.kicker,"O POTENCIAL","THE POTENTIAL","POTENSIALET"
be_the_dance_philosophy.m3.p1,"Existe uma possibilidade de dança em cada corpo.","There is a possibility of dance in every body.","Det finnes en mulighet for dans i hver kropp."
be_the_dance_philosophy.m3.p2,"Não uma dança que se aprende mas uma que se descobre.","Not a dance you learn, but one you discover.","Ikke en dans du lærer, men en du oppdager."
be_the_dance_philosophy.m3.p3,"Ritmo, impulso, pausa. O corpo já conhece esse","Rhythm, impulse, pause. The body already knows this","Rytme, impuls, pause. Kroppen kjenner allerede til dette"
be_the_dance_philosophy.m3.p4,"vocabulário. Cada workshop cria as condições para que","vocabulary. Each workshop creates the conditions for it","vokabularet. Hver workshop skaper forholdene for at det"
be_the_dance_philosophy.m3.p5,"ele se torne expressão.","to become expression.","skal bli til uttrykk."
be_the_dance_philosophy.m4.l1,"Há milênios, antes de qualquer técnica,","For millennia, before any technique,","I årtusener, før noen teknikk eksisterte,"
be_the_dance_philosophy.m4.l2,"o corpo já dançava.","the body was already dancing.","danset kroppen allerede."
be_the_dance_philosophy.m5.c1.desc,"Soltar a tensão acumulada. Deixar o movimento encontrar seu próprio caminho.","Release accumulated tension. Let movement find its own path.","Slipp oppsamlet spenning. La bevegelsen finne sin egen vei."
be_the_dance_philosophy.m5.c1.title,"Do esforço ao fluxo.","From effort to flow.","Fra innsats til flyt."
be_the_dance_philosophy.m5.c2.desc,"Sair da preocupação com ""como estou dançando"" para perceber o que o corpo quer dizer.","Shift from worrying about ""how I'm dancing"" to perceiving what the body wants to say.","Gå fra å bekymre deg for ""hvordan jeg danser"" til å oppfatte hva kroppen vil si."
be_the_dance_philosophy.m5.c2.title,"Da forma à presença.","From form to presence.","Fra form til tilstedeværelse."
be_the_dance_philosophy.m5.c3.desc,"Ouvir a respiração. Seguir o impulso. Responder à música antes de pensar.","Listen to the breath. Follow the impulse. Respond to the music before thinking.","Lytt til pusten. Følg impulsen. Svar på musikken før du tenker."
be_the_dance_philosophy.m5.c3.title,"Do controle à escuta.","From control to listening.","Fra kontroll til lytting."
be_the_dance_philosophy.m5.c4.desc,"Reconhecer o corpo por inteiro. Sentir como uma parte se conecta a outra, e outra, e outra.","Recognize the body as a whole. Feel how one part connects to another, and another, and another.","Anerkjenn kroppen som en helhet. Kjenn hvordan en del henger sammen med en annen, og en annen, og en annen."
be_the_dance_philosophy.m5.c4.title,"Do isolamento à percepção.","From isolation to perception.","Fra isolasjon til persepsjon."
be_the_dance_philosophy.m6.l1,"A dança não precisa ser aprendida.","Dance doesn't need to be learned.","Dans trenger ikke læres."
be_the_dance_philosophy.m6.l2,"Precisa ser permitida.","It needs to be permitted.","Den må tillates."
be_the_dance_philosophy.m7.kicker,"Os caminhos","The paths","Veiene"
be_the_dance_philosophy.m7.l1,"Cada workshop explora um território.","Each workshop explores a territory.","Hvert workshop utforsker et territorium."
be_the_dance_philosophy.m7.l2,"Escolha o que te chama primeiro.","Choose what calls you first.","Velg det som kaller på deg først."
biostretch_philosophy.m1.l1,"Seu corpo já sabe o que está tenso.","Your body already knows what is tense.","Kroppen din vet allerede hva som er anspent."
biostretch_philosophy.m1.l2,"Você só deixou de escutá-lo.","You just stopped listening to it.","Du har bare sluttet å lytte til den."
biostretch_philosophy.m2.kicker,"Quatro décadas de pesquisa em movimento","Four decades of movement research","Fire tiår med bevegelsesforskning"
biostretch_philosophy.m2.title,"BIOSTRETCH","BIOSTRETCH","BIOSTRETCH"
biostretch_philosophy.m3.kicker,"O princípio","The principle","Prinsippet"
biostretch_philosophy.m3.p1,"Movimentos simples. Atenção precisa.","Simple movements. Precise attention.","Enkle bevegelser. Presis oppmerksomhet."
biostretch_philosophy.m3.p2,"O Biostretch usa a ferramenta mais acessível que existe, a sua atenção, para transformar a maneira como o corpo se organiza.","Biostretch uses the most accessible tool there is, your attention, to transform how the body organizes itself.","Biostretch bruker det mest tilgjengelige verktøyet som finnes, oppmerksomheten din, for å transformere hvordan kroppen organiserer seg."
biostretch_philosophy.m3.p3,"Importa menos o que se faz","It matters less what you do","Det spiller mindre rolle hva du gjør"
biostretch_philosophy.m3.p4,"e mais como se faz.","and more how you do it.","og mer hvordan du gjør det."
biostretch_philosophy.m4.l1,"O corpo não esqueceu como se mover.","The body hasn't forgotten how to move.","Kroppen har ikke glemt hvordan den skal bevege seg."
biostretch_philosophy.m4.l2,"Prestar atenção é que foi esquecido.","Paying attention is what was forgotten.","Å være oppmerksom er det som ble glemt."
biostretch_philosophy.m5.c1.desc,"O que se acumulou no pescoço, nos ombros, nas costas encontra espaço para se soltar.","What accumulated in the neck, shoulders, and back finds space to release.","Det som har samlet seg i nakken, skuldrene og ryggen finner plass til å slippe taket."
biostretch_philosophy.m5.c1.title,"Na superfície, tensão se dissolve.","On the surface, tension dissolves.","På overflaten løses spenninger opp."
biostretch_philosophy.m5.c2.desc,"Hábitos automáticos de movimento, que nunca foram escolhidos, tornam-se visíveis pela primeira vez.","Automatic habits of movement — which were never chosen — become visible for the first time.","Automatiske bevegelsesvaner — som aldri ble valgt — blir synlige for første gang."
biostretch_philosophy.m5.c2.title,"Abaixo, padrões se revelam.","Below, patterns reveal themselves.","Under overflaten avsløres mønstre."
biostretch_philosophy.m5.c3.desc,"O sistema nervoso encontra equilíbrio. A respiração se aprofunda. O estresse perde terreno.","The nervous system finds balance. Breathing deepens. Stress loses ground.","Nervesystemet finner balanse. Pusten blir dypere. Stresset mister terreng."
biostretch_philosophy.m5.c3.title,"Mais fundo, o ritmo muda.","Deeper down, the rhythm changes.","Dypere nede endres rytmen."
biostretch_philosophy.m5.c4.desc,"O corpo descobre caminhos mais inteligentes para se mover. Não por esforço, por percepção.","The body discovers smarter ways to move. Not through effort, but through perception.","Kroppen oppdager smartere måter å bevege seg på. Ikke gjennom anstrengelse, men gjennom persepsjon."
biostretch_philosophy.m5.c4.title,"Na base, algo se reorganiza.","At the base, something reorganizes.","I bunnen reorganiseres noe."
biostretch_philosophy.m6.l1,"Menos esforço.","Less effort.","Mindre innsats."
biostretch_philosophy.m6.l2,"Mais consciência.","More awareness.","Mer bevissthet."
biostretch_philosophy.m6.l3,"Qualquer corpo, qualquer idade, qualquer ponto de partida.","Any body, any age, any starting point.","Hvilken som helst kropp, hvilken som helst alder, hvilket som helst utgangspunkt."
biostretch_philosophy.m7.kicker,"Seis práticas","Six practices","Seks praksiser"
biostretch_philosophy.m7.l1,"Cada workshop trabalha uma camada.","Each workshop works on one layer.","Hvert workshop jobber med ett lag."
biostretch_philosophy.m7.l2,"Comece pela que seu corpo pedir.","Start with whatever your body asks for.","Start med det kroppen din ber om."
contactPage.addressLabel,"Endereço (Opcional)","Address (Optional)","Adresse (Valgfritt)"
contactPage.addressPlaceholder,"Nome da rua, número","Street name, number","Gatenavn, husnummer"
contactPage.bannerCta,"Explorar Agenda","Explore Schedule","Utforsk Timeplan"
contactPage.bannerDesc,"Confira nossas próximas datas e garanta sua vaga diretamente na nossa programação oficial.","Check our upcoming dates and secure your spot directly in our official schedule.","Sjekk våre kommende datoer og sikre din plass direkte i vår offisielle timeplan."
contactPage.bannerKicker,"AGENDA ATIVA","ACTIVE SCHEDULE","AKTIV TIMEPLAN"
contactPage.bannerTitle,"Quer participar de um workshop?","Want to join a workshop?","Vil du bli med på en workshop?"
contactPage.cityLabel,"Cidade (Opcional)","City (Optional)","By (Valgfritt)"
contactPage.cityPlaceholder,"Sua cidade","Your city","Din by"
contactPage.countryLabel,"País (Opcional)","Country (Optional)","Land (Valgfritt)"
contactPage.countryPlaceholder,"Brasil, Noruega...","Norway...","Norge..."
contactPage.emailLabel,"E-mail","Email","E-post"
contactPage.emailPlaceholder,"seuemail@exemplo.com","your.email@example.com","din.epost@eksempel.no"
contactPage.emailRequired,"Por favor, insira um e-mail válido.","Please enter a valid email address.","Vennligst oppgi en gyldig e-postadresse."
contactPage.executiveSubtitle,"Conecte sua organização ou empresa com o Dance 2 Dance para projetos sociais, bem-estar corporativo ou parcerias.","Connect your organization or company with Dance 2 Dance for social projects, corporate wellness, or partnerships.","Koble din organisasjon eller bedrift med Dance 2 Dance for sosiale prosjekter, bedriftsvelvære eller partnerskap."
contactPage.executiveTitle,"Agendar Reunião Executiva","Schedule Executive Meeting","Planlegg Ledermøte"
contactPage.infoDesc,"Espaço de encontro, movimento e transformação social através da arte da dança e do bem-estar corporal.","A space for meeting, movement, and social transformation through dance art and bodily well-being.","Et rom for møter, bevegelse og sosial transformasjon gjennom dansekunst og kroppslig velvære."
contactPage.kicker,"CONTATO & PARCERIAS","CONTACT & PARTNERSHIPS","KONTAKT & SAMARBEID"
contactPage.messageLabel,"Mensagem *","Message *","Melding *"
contactPage.messagePlaceholder,"Como podemos te ajudar?","How can we help you?","Hvordan kan vi hjelpe deg?"
contactPage.nameLabel,"Nome (Opcional)","Name (Optional)","Navn (Valgfritt)"
contactPage.namePlaceholder,"Seu nome ou empresa","Your name or company","Ditt navn eller bedrift"
contactPage.neighborhoodLabel,"Bairro (Opcional)","Neighborhood (Optional)","Nabolag (Valgfritt)"
contactPage.neighborhoodPlaceholder,"Seu bairro","Your neighborhood","Ditt nabolag"
contactPage.phoneLabel,"Telefone / WhatsApp (Opcional)","Phone / WhatsApp (Optional)","Telefon / WhatsApp (Valgfritt)"
contactPage.phonePlaceholder,"+55 ... / +47 ...","+47 ...","+47 ..."
contactPage.sendAnother,"Enviar Outra Mensagem","Send Another Message","Send Ny Melding"
contactPage.sendError,"Falha ao enviar mensagem. Tente novamente mais tarde.","Failed to send message. Please try again later.","Kunne ikke sende melding. Vennligst prøv igjen senere."
contactPage.sending,"Enviando...","Sending...","Sender..."
contactPage.subjectCorporate,"Biostretch para Empresas","Biostretch for Companies","Biostretch for Bedrifter"
contactPage.subjectExecutive,"Reunião Executiva / Projeto Social","Executive Meeting / Social Project","Ledermøte / Sosialt Prosjekt"
contactPage.subjectGeneral,"Dúvidas Gerais / Informações","General Inquiries / Information","Generelle henvendelser / Informasjon"
contactPage.subjectIndividual,"Sessão Individual / Personal","Individual Session / Personal","Individuell Økt / Personlig"
contactPage.subjectLabel,"Assunto","Subject","Emne"
contactPage.subjectPartnership,"Parcerias & Patrocínios","Partnerships & Sponsorships","Samarbeid & Sponsorer"
contactPage.submitBtn,"Enviar Mensagem","Send Message","Send Melding"
contactPage.subtitle,"Tem dúvidas sobre workshops, aulas regulares ou parcerias institucionais? Fale diretamente conosco.","Have questions about workshops, regular classes, or institutional partnerships? Talk directly to us.","Har du spørsmål om workshops, faste timer eller institusjonelle samarbeid? Ta direkte kontakt med oss."
contactPage.successDesc,"Recebemos sua mensagem com sucesso. Entraremos em contato o mais breve possível.","We have received your message. We will get back to you as soon as possible.","Vi har mottatt meldingen din. Vi tar kontakt med deg så snart som mulig."
contactPage.successTitle,"Mensagem Enviada!","Message Sent!","Melding Sendt!"
contactPage.title,"Entre em Contato","Get in Touch","Ta Kontakt"
contactPage.zipLabel,"CEP / Código Postal (Opcional)","ZIP / Postal Code (Optional)","Postnummer (Valgfritt)"
contactPage.zipPlaceholder,"00000-000","Postal / ZIP code (e.g. 0190)","Postnummer (f.eks. 0190)"
corporate.audience.intro,"O Biostretch Corporativo é indicado para organizações que desejam criar espaços de pausa orientada, escuta ativa e fortalecimento do bem-estar físico e emocional dentro do ambiente institucional. Especialmente indicado para:","Biostretch Corporate is designed for organizations that wish to create spaces of guided pause, active listening, and strengthening of physical and emotional well-being within the institutional environment. Especially recommended for:","Biostretch Corporate er designet for organisasjoner som ønsker å skape rom for veiledet pause, aktiv lytting og styrking av fysisk og emosjonelt velvære innenfor det institusjonelle miljøet. Spesielt anbefalt for:"
corporate.audience.items.attention,"Equipes que buscam mais atenção e consciência corporal","Teams seeking more attention and body awareness","Team som søker mer oppmerksomhet og kroppsbevissthet"
corporate.audience.items.high_demand,"Ambientes de alta demanda que pedem momentos de pausa e reconexão","High-demand environments that need moments of pause and reconnection","Miljøer med høye krav som trenger øyeblikk av pause og gjenforening"
corporate.audience.items.relationships,"Organizações que valorizam relações e equilíbrio no trabalho","Organizations that value relationships and balance at work","Organisasjoner som verdsetter relasjoner og balanse på arbeidsplassen"
corporate.audience.items.seated,"Pessoas que passam longos períodos sentadas diante de telas","People who spend long periods seated in front of screens","Personer som tilbringer lange perioder sittende foran skjermer"
corporate.audience.items.standing,"Colaboradores que ficam muitas horas em pé ou em constante deslocamento","Employees who spend many hours standing or in constant movement","Medarbeidere som står i mange timer eller er i konstant bevegelse"
corporate.audience.items.wellbeing_culture,"Empresas que querem integrar bem-estar à sua cultura","Companies wanting to integrate well-being into their culture","Bedrifter som vil integrere velvære i sin kultur"
corporate.audience.kicker,"PARA EMPRESAS QUE VALORIZAM PESSOAS","FOR COMPANIES THAT VALUE PEOPLE","FOR BEDRIFTER SOM VERDSETTER MENNESKER"
corporate.benefits.cards.consciousness.desc,"Perceber como o corpo se organiza no dia a dia","Perceiving how the body organizes itself in daily life","Å oppdage hvordan kroppen organiserer seg i hverdagen"
corporate.benefits.cards.consciousness.title,"Consciência corporal","Body awareness","Kroppsbevissthet"
corporate.benefits.cards.coordination.desc,"Ampliar a relação entre intenção e movimento","Expanding the relationship between intention and movement","Å utvide forholdet mellom intensjon og bevegelse"
corporate.benefits.cards.coordination.title,"Coordenação e percepção","Coordination and perception","Koordinasjon og persepsjon"
corporate.benefits.cards.environment.desc,"Contribuir para relações mais saudáveis e sustentáveis no trabalho","Contributing to healthier and more sustainable workplace relationships","Å bidra til sunnere og mer bærekraftige relasjoner på arbeidsplassen"
corporate.benefits.cards.environment.title,"Ambiente mais humano","A more human environment","Et mer menneskelig miljø"
